id,order,score,weight,color,label
iGMDRD251,1,3,1,#4D9DB4,"PTGS2"
iGMDRD251,1,2,1,#4776B4,"BIRC6"
iGMDRD251,1,2,1,#F47245,"MAP3K9"
iGMDRD251,1,3,1,#C32F4B,"HDAC1"
iGMDRD251,1,3,1,#4776B4,"RASA3"
iGMDRD251,1,2,1,#5E4EA1,"TIAM1"
iGMDRD251,1,3,1,#FB9F59,"TNK1"
iGMDRD251,1,6,1,#C32F4B,"PLAT"
iGMDRD251,1,3,1,#FB9F59,"DGKB"
iGMDRD251,1,3,1,#4776B4,"BLM"
iGMDRD251,1,2,1,#C32F4B,"LCK"
iGMDRD251,1,5,1,#9E0041,"CREBBP"
iGMDRD251,1,3,1,#9E0041,"MAP3K12"
iGMDRD251,1,4,1,#4776B4,"EIF2AK3"
iGMDRD251,1,2,1,#FB9F59,"ARHGAP29"
iGMDRD251,1,4,1,#5E4EA1,"TBCK"
iGMDRD251,1,3,1,#C32F4B,"NUTM1"
iGMDRD251,1,5,1,#5E4EA1,"ZNF331"
iGMDRD251,1,2,1,#4776B4,"ARTN"
iGMDRD251,1,3,1,#EAF195,"TTBK1"
iGMDRD251,1,3,1,#EAF195,"HECW1"
iGMDRD251,1,3,1,#9CD6A4,"SMURF2"
iGMDRD251,1,1,1,#9E0041,"PI4KB"
iGMDRD251,1,3,1,#EAF195,"DDX6"
iGMDRD251,1,3,1,#4776B4,"SULF1"
iGMDRD251,1,6,1,#FEC574,"MYH11"
iGMDRD251,1,2,1,#FAE38C,"ERCC2"
iGMDRD251,1,5,1,#9CD6A4,"RB1"
iGMDRD251,1,3,1,#FAE38C,"ATP10A"
iGMDRD251,1,1,1,#C7E89E,"TNFAIP3"
iGMDRD251,1,2,1,#4776B4,"UBL4A"
iGMDRD251,1,3,1,#4D9DB4,"JAK2"
iGMDRD251,1,3,1,#5E4EA1,"EXT3"
iGMDRD251,1,3,1,#9E0041,"MST1R"
iGMDRD251,1,6,1,#C32F4B,"CDK17"
iGMDRD251,1,1,1,#6CC4A4,"SYK"
iGMDRD251,1,4,1,#9CD6A4,"FGFR2"
iGMDRD251,1,3,1,#4D9DB4,"MOCOS"
iGMDRD251,1,3,1,#5E4EA1,"ERLIN2"
iGMDRD251,1,2,1,#4776B4,"UBE2O"
iGMDRD251,1,1,1,#F47245,"FCGR1B"
iGMDRD251,1,3,1,#F47245,"TNFRSF12A"
iGMDRD251,1,6,1,#4776B4,"GMPS"
iGMDRD251,1,6,1,#4D9DB4,"PSKH2"
iGMDRD251,1,3,1,#FB9F59,"ARFGEF1"
iGMDRD251,1,3,1,#4D9DB4,"MAP4K4"
iGMDRD251,1,3,1,#9CD6A4,"LIN9"
iGMDRD251,1,2,1,#EAF195,"ADAMTS2"
iGMDRD251,1,6,1,#EAF195,"MAP4K2"
iGMDRD251,1,6,1,#FB9F59,"KDR"
iGMDRD251,1,4,1,#9CD6A4,"PRKX"
iGMDRD251,1,3,1,#FEC574,"NTRK3"
iGMDRD251,1,1,1,#9E0041,"SACS"
iGMDRD251,1,2,1,#C32F4B,"COQ8B"
iGMDRD251,1,3,1,#F47245,"GUCY1A2"
iGMDRD251,1,2,1,#FEC574,"KIT"
iGMDRD251,1,2,1,#4D9DB4,"IFNA2"
iGMDRD251,1,6,1,#9CD6A4,"GRIK1"
iGMDRD251,1,4,1,#F47245,"EGFR"
iGMDRD251,1,1,1,#C32F4B,"LZTR1"
iGMDRD251,1,1,1,#E1514B,"ERBB3"
iGMDRD251,1,3,1,#C7E89E,"OLIG2"
iGMDRD251,1,3,1,#FEC574,"PGAP3"
iGMDRD251,1,1,1,#4776B4,"TYRO3"
iGMDRD251,1,2,1,#FEC574,"DST"
iGMDRD251,1,6,1,#4776B4,"SERPINA12"
iGMDRD251,1,3,1,#C7E89E,"EIF4B"
iGMDRD251,1,1,1,#FEC574,"WWTR1"
iGMDRD251,1,2,1,#9E0041,"CHD6"
iGMDRD251,1,1,1,#C7E89E,"FLNB"
iGMDRD251,1,7,1,#E1514B,"ITK"
iGMDRD251,1,3,1,#9E0041,"CSNK2A2"
iGMDRD251,1,3,1,#C32F4B,"STAG3"
iGMDRD251,1,6,1,#9CD6A4,"HOXD13"
iGMDRD251,1,1,1,#E1514B,"CDK4"
iGMDRD251,1,3,1,#9CD6A4,"MAP4K1"
iGMDRD251,1,5,1,#E1514B,"FGFR1OP"
iGMDRD251,1,2,1,#EAF195,"BRCA1"
iGMDRD251,1,3,1,#FB9F59,"P4HB"
iGMDRD251,1,3,1,#FAE38C,"NCOA3"
iGMDRD251,1,2,1,#4776B4,"PARP1"
iGMDRD251,1,1,1,#F47245,"BCL11A"
iGMDRD251,1,3,1,#5E4EA1,"ADGRG4"
iGMDRD251,1,6,1,#C32F4B,"YAP1"
iGMDRD251,1,3,1,#9E0041,"GRIN2A"
iGMDRD251,1,1,1,#FB9F59,"PDGFRB"
iGMDRD251,1,2,1,#9E0041,"PROC"
iGMDRD251,1,2,1,#FEC574,"PRKCG"
iGMDRD251,1,3,1,#4D9DB4,"EIF3H"
iGMDRD251,1,3,1,#4776B4,"NPAP1"
iGMDRD251,1,3,1,#6CC4A4,"MERTK"
iGMDRD251,1,2,1,#9E0041,"SOS1"
iGMDRD251,1,3,1,#6CC4A4,"PICALM"
iGMDRD251,1,3,1,#C32F4B,"MARK4"
iGMDRD251,1,3,1,#9CD6A4,"FER"
iGMDRD251,1,1,1,#5E4EA1,"UGT1A1"
iGMDRD251,1,3,1,#5E4EA1,"CYP17A1"
iGMDRD251,1,2,1,#9E0041,"ZNF217"
iGMDRD251,1,4,1,#E1514B,"NAV3"
iGMDRD251,1,3,1,#4D9DB4,"HDAC2"
iGMDRD251,1,3,1,#E1514B,"ADAM18"
iGMDRD251,1,1,1,#EAF195,"TNRC6B"
iGMDRD251,1,2,1,#6CC4A4,"MMP8"
iGMDRD251,1,2,1,#FAE38C,"TSC1"
iGMDRD251,1,2,1,#FEC574,"CDKN2A"
iGMDRD251,1,2,1,#FAE38C,"MCM3AP"
iGMDRD251,1,3,1,#9E0041,"CXCR2"
iGMDRD251,1,3,1,#4776B4,"COQ8A"
iGMDRD251,1,2,1,#FAE38C,"CATSPERB"
iGMDRD251,1,3,1,#6CC4A4,"CNTRL"
iGMDRD251,1,2,1,#4776B4,"CNTN5"
iGMDRD251,1,6,1,#FB9F59,"TGFB1"
iGMDRD251,1,3,1,#FB9F59,"RORA"
iGMDRD251,1,4,1,#C7E89E,"NSD2"
iGMDRD251,1,1,1,#4776B4,"RAB25"
iGMDRD251,1,3,1,#FEC574,"PRKCD"
iGMDRD251,1,3,1,#5E4EA1,"TRPM7"
iGMDRD251,1,1,1,#FAE38C,"ALPK2"
iGMDRD251,1,2,1,#FAE38C,"GRIA3"
iGMDRD251,1,3,1,#C32F4B,"PRKG1"
iGMDRD251,1,2,1,#4D9DB4,"CDH11"
iGMDRD251,1,4,1,#9CD6A4,"LRP1B"
iGMDRD251,1,2,1,#E1514B,"CASP8"
iGMDRD251,1,9,1,#4776B4,"STK11"
iGMDRD251,1,3,1,#6CC4A4,"LDHA"
iGMDRD251,1,2,1,#C32F4B,"OMG"
iGMDRD251,1,4,1,#F47245,"EPHA7"
iGMDRD251,1,4,1,#F47245,"NGF"
iGMDRD251,1,1,1,#5E4EA1,"DYRK2"
iGMDRD251,1,3,1,#6CC4A4,"COPS5"
iGMDRD251,1,2,1,#E1514B,"MYO3A"
