id,order,score,weight,color,label
iGMDRD366,1,1,1,#5E4EA1,"PI-103"
iGMDRD506,1,4,1,#FAE38C,"Fedratinib"
iGMDRD79,1,3,1,#FEC574,"Gemcitabine"
iGMDRD394,1,1,1,#4D9DB4,"BX-795"
iGMDRD77,1,3,1,#F47245,"Itraconazole"
iGMDRD150,1,10,1,#4D9DB4,"RITA"
iGMDRD690,1,3,1,#5E4EA1,"PRIMA-1MET"
iGMDRD782,1,2,1,#E1514B,"DC-45-A2"
iGMDRD148,1,3,1,#4D9DB4,"Pifithrin-mu"
iGMDRD64,1,3,1,#FB9F59,"Parbendazole"
iGMDRD351,1,2,1,#4D9DB4,"GW843682X"
iGMDRD126,1,8,1,#5E4EA1,"Tipifarnib"
iGMDRD889,1,2,1,#F47245,"Compound 7d-cis"
iGMDRD123,1,3,1,#5E4EA1,"Isoevodiamine"
iGMDRD577,1,2,1,#FAE38C,"BIX01294"
iGMDRD474,1,4,1,#F47245,"Avrainvillamide"
iGMDRD781,1,3,1,#9CD6A4,"Sirolimus"
iGMDRD446,1,4,1,#6CC4A4,"LY 2183240"
iGMDRD193,1,3,1,#FB9F59,"Fqi1"
iGMDRD220,1,3,1,#9CD6A4,"fumonisin B1"
iGMDRD61,1,1,1,#9CD6A4,"Kinetin riboside"
iGMDRD144,1,5,1,#C32F4B,"NSC95397"
iGMDRD634,1,4,1,#F47245,"SCHEMBL2608041"
iGMDRD1008,1,3,1,#4776B4,"SR-II-138A"
iGMDRD246,1,3,1,#9E0041,"NPC26"
iGMDRD562,1,3,1,#EAF195,"Navitoclax"
iGMDRD872,1,3,1,#4776B4,"BRD7137"
iGMDRD679,1,5,1,#4776B4,"Bistramide A"
iGMDRD137,1,3,1,#FB9F59,"Indisulam"
iGMDRD300,1,1,1,#FEC574,"Tozasertib"
iGMDRD901,1,3,1,#E1514B,"ELCPK"
iGMDRD427,1,1,1,#FEC574,"ABT737"
iGMDRD434,1,3,1,#C32F4B,"BMS-536924"
iGMDRD341,1,1,1,#F47245,"Triacsin c"
iGMDRD188,1,5,1,#FB9F59,"Piperlongumine"
iGMDRD255,1,7,1,#C32F4B,"SB225002"
iGMDRD307,1,3,1,#FEC574,"Manumycin A"
